,program,id,.,var,;,:,Integer,Boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,l,TRUE,FALSE,>,>=,<,<=,=,$,PR,BL,VDS,VD',VD,ID',TY,CS,S',S,SS,AS,RS,WS,SSS,IF,WHS,E,AE,T,F,L,BEP
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,s7,,,,,s6,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,4,,,,,,,,,,,,,,,
3,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
6,,s20,,,,,,,s6,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,19,10,11,12,14,15,16,13,17,18,,,,,,
7,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,27,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,
9,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,s30,,,,,r12,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,r14,,,,,r14,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,r15,,,,,r15,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,r16,,,,,r16,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,r17,,,,,r17,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r18,,,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,r23,,,,,r23,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,r24,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,r25,,,,,r25,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s33,,,,,,,,,,,,,,,,,,,,s35,s36,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
23,,s44,,,,,,,,,,,,,,,,,,,,s45,s40,s39,,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,,38
